answer,x_cord,y_cord
USA,-157,197
Russia,-164,152
Saudi Arabia,-189,105
Iraq,-155,62
Canada,-172,15
Iran,-152,-34
China,-165,-82
ZEA,-156,-127
Kuwait,-162,-173
Brazil,-158,-221
Nigeria,258,199
Kazakhstan,240,153
Mexico,259,106
Angola,262,59
Norway,257,10
Venezuela,248,-36
Qatar,264,-84
Algeria,259,-130
Libya,265,-175
United Kingdom,225,-223
