answer,x_cord,y_cord
Canada,-173,176
Russia,-170,135
Mongolia,-176,90
Norway,-169,47
Kyrgyzstan,-183,1
Finland,-171,-45
Iceland,-172,-88
Tajikistan,-183,-131
Sweden,-179,-175
Estonia,-178,-224
Switzerland,217,178
Latvia,230,134
Liechtenstein,210,88
North Korea,215,44
Georgia,225,-1
Belarus,231,-47
Lithuania,229,-92
Austria,233,-137
Kazakhstan,220,-180
Slovakia,226,-224
