answer,x_cord,y_cord
Warszawa,-164,169
Kraków,-146,127
Łódź,-137,86
Wrocław,-151,44
Poznań,-149,-1
Gdańsk,-147,-42
Szczecin,-153,-85
Bydgoszcz,-159,-128
Lublin,-142,-170
Katowice,-155,-213
Białystok,244,173
Gdynia,258,127
Częstochowa,229,85
Radom,259,43
Sosnowiec,237,-1
Toruń,259,-47
Kielce,260,-87
Rzeszów,246,-128
Gliwice,252,-171
Zabrze,255,-212
