answer,x_cord,y_cord
Moldova,-153,132
Kosovo,-152,90
Ukraine,-151,45
North Macedonia,-194,-3
Bosnia,-147,-44
Albania,253,133
Serbia,260,85
Belarus,252,42
Romania,250,-3
Bulgaria,252,-47
